ANO,MES,COD_UF,COD_MESO,COD_MICRO,COD_MUNICIPIO,COD_PRODUTO,SAFRA,IRRIGADO,COD_FONTE,COD_FASE,COD_OCORRENCIA,EM_FORMACAO,PLANTADA,COLHIDA,PERC_COLHIDO_MES,PRODUCAO,RENDIMENTO,PRECO,OBSERVACAO,DT_ATUALIZACAO,SGL_SIGLA,COLHIDO_ACUMULADO,PRECO_MEDIO_ANUAL,
2015,12,32,1,1,169,0111.0070,1,N,1,6,2,0,5,4,0,6,1500,550.00,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,01/12/2015,SISTEMA,100,550,
2015,12,32,1,1,169,0113.0010,0,N,1,6,9,0,20,20,0,900,45000,50.00,,01/12/2015,SISTEMA,100,50,
2015,12,32,1,1,169,0119.1030,1,S,1,6,2,0,40,28,0,22,786,2500.00,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015.,01/12/2015,SISTEMA,100,2500,
2015,12,32,1,1,169,0119.1030,2,S,1,6,9,0,20,20,0,16,800,2500.00,,04/12/2015,DANIELSSILVA,100,2500,
2015,12,32,1,1,169,0119.2050,0,N,1,6,9,0,70,70,0,3150,45000,50.00,,01/12/2015,SISTEMA,100,50,
2015,12,32,1,1,169,0119.3020,0,S,1,6,9,0,10,10,0,300,30000,600.00,O período de estiagem favoreceu o desenvolvimento da cultura que é irrigada e não admite chuvas em excesso.,04/12/2015,DANIELSSILVA,100,600,
2015,12,32,1,1,169,0119.4040,0,N,1,6,9,0,30,30,0,480,16000,300.00,,01/12/2015,SISTEMA,100,300,
2015,12,32,1,1,169,0119.9010,0,N,1,6,9,0,5,5,0,75,15000,700.00,,01/12/2015,SISTEMA,100,700,
2015,12,32,1,1,169,0121.3110,0,S,1,6,9,0,6,6,0,90,15000,950.00,,04/12/2015,DANIELSSILVA,100,950,
2015,12,32,1,1,169,0121.6040,0,N,1,6,2,0,5,4,0,32,8000,550.00,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura. Abril/2015 - ALTERADO por MAURO para 8.000 kg/ha. REVISAR RENDIMENTO.,01/12/2015,SISTEMA,100,550,
2015,12,32,1,1,169,0131.0010,0,N,1,6,9,0,15,15,0,135,9000,900.00,,01/12/2015,SISTEMA,100,900,
2015,12,32,1,1,169,0133.1070,0,N,1,6,9,4,2,2,0,20,10000,650.00,Sem tratos culturais,01/12/2015,SISTEMA,100,650,
2015,12,32,1,1,169,0133.2080,0,S,1,6,2,0,3,3,0,70,23333,960.00,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,01/12/2015,SISTEMA,100,960,
2015,12,32,1,1,169,0133.2340,0,N,1,6,9,20,40,40,0,400,10000,800.00,,01/12/2015,SISTEMA,100,800,
2015,12,32,1,1,169,0133.2360,0,N,1,6,9,1,3,3,0,60,20000,1500.00,,01/12/2015,SISTEMA,100,1500,
2015,12,32,1,1,169,0133.3030,0,N,1,6,9,0,10,10,0,50,5000,490.00,"Trata-se de coco plantado sem tratos culturais e espalhado pelo município, sem área solteira.",01/12/2015,SISTEMA,100,490,
2015,12,32,1,1,169,0134.0021,0,N,1,6,2,50,850,850,0,612,720,5430.00,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,01/12/2015,SISTEMA,100,5150.5,
2015,12,32,1,1,169,0134.0022,0,N,1,6,2,200,1400,1400,0,1400,1000,5330.00,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,04/12/2015,DANIELSSILVA,100,4808,
2015,12,32,1,1,169,0134.0022,0,S,1,6,2,400,500,500,0,810,1620,5330.00,"Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura. JUNHO 2015 = Reflexo da Seca na Granação reduziu a produção. Rosetas Vazias, Ramos Banguelas.",04/12/2015,DANIELSSILVA,100,4808,
2015,12,32,1,1,169,0139.1060,0,N,1,12,9,5,0,0,,0,0,,Em desenvolvimento,01/12/2015,SISTEMA,0,0,
2015,12,32,1,1,169,0139.2010,0,N,1,12,9,60,0,0,,0,0,,Cultura em Desenvolvimento,01/12/2015,SISTEMA,0,0,
2015,12,32,1,1,169,9119.4040,0,N,1,6,9,0,20,20,0,320,16000,500.00,,01/12/2015,SISTEMA,100,500,
2015,12,32,1,1,904,0111.0020,1,N,1,6,9,0,100,100,0,300,3000,1000.00,,01/12/2015,SISTEMA,100,1000,
2015,12,32,1,1,904,0111.0070,1,N,1,6,2,0,280,56,0,129,2304,550.00,,01/12/2015,SISTEMA,100,550,
