COD_PROD,NOME,SUBGRUPO,,,
0133.2010,ABACATE,Fruticultura,,,
0119.3010,ABACAXI,Fruticultura,,,
0119.9010,ABÓBORA (JERIMUM, MORANGA),,,
0121.2010,ABOBRINHA,Olericultura,,,
0133.2020,AÇAÍ (cultivo),Fruticultura,,,
0121.1010,ACELGA,Olericultura,,,
0133.2030,Acerola ou cereja-das-antilhas,Fruticultura,,,
0121.1020,AGRIÃO,Olericultura,,,
0121.1030,AIPO OU SALSÃO,Olericultura,,,
0121.1040,ALCACHOFRA,Olericultura,,,
0121.1050,ALFACE,Olericultura,,,
0119.4010,ALHO,Olericultura,,,
0121.1070,ALMEIRÃO OU CHICÓRIA AMARGA,Olericultura,,,
0111.0020,ARROZ EM CASCA,Alimento básico,,,
0133.2080,BANANA,Fruticultura,,,
0121.3040,Batata-baroa ou mandioquinha-salsa  ,Olericultura,,,
0121.3050,BATATA-DOCE,Olericultura,,,
0119.4020,BATATA-INGLESA,Olericultura,,,
0121.2020,BERINJELA,Olericultura,,,
0121.3060,BETERRABA,Olericultura,,,
0121.1120,BRÓCOLIS,Olericultura,,,
0135.0010,CACAU (AMÊNDOA),Fruticultura,,,
0134.0020,CAFÉ EM GRÃO (Total arabica + Conilon),Cafeicultura,,,
0134.0021,café arábica (em grão),Cafeicultura,,,
0134.0022,café canephora,Cafeicultura,,,
0113.0010,CANA-DE-AÇÚCAR,Cana-de-açúcar ,,,
0119.2050,Cana (forrageira para corte),Outros produtos agrícolas,,,
0133.2120,CAQUI,Fruticultura,,,
0121.3070,CARÁ,Olericultura,,,
0119.4030,CEBOLA,Olericultura,,,
0121.5120,CEBOLINHA (FOLHA),Olericultura,,,
0121.3080,CENOURA,Olericultura,,,
0121.1150,CHICÓRIA,Olericultura,,,
0121.2030,CHUCHU,Olericultura,,,
0133.3030,COCO-DA-BAÍA,Fruticultura,,,
0121.5130,COENTRO (FOLHA),Olericultura,,,
0121.6030,Cogumelos comestíveis  ,Olericultura,,,
0121.1160,COUVE,Olericultura,,,
0121.1200,Couve-flor ,Olericultura,,,
0121.1230,Espinafres (comum, da Nova Zelândia,,Olericultura,
0119.1030,FEIJÃO COMUM DE COR EM GRÃO,Alimento básico,,,
0119.1040,FEIJÃO COMUM PRETO EM GRÃO,Alimento básico,,,
0119.1060,FEIJÃO EM GRÃO (QUALQUER OUTRO: ADZUKI, MUNGO,, DE LIMA),Alimento básico
0119.1050,FEIJÃO FRADINHO, CAUPI,,Alimento básico,
0121.5200,Gengibre (rizoma)  ,Olericultura,,,
0116.0030,GERGELIM,Olericultura,,,
0133.2220,GOIABA,Fruticultura,,,
0133.2230,Graviola,Fruticultura,,,
0121.3110,INHAME,Olericultura,,,
0121.2040,Jiló  ,Olericultura,,,
0131.0010,LARANJA,Fruticultura,,,
0133.2310,Lichia ou lechia,Fruticultura,,,
0133.1040,LIMÃO,Fruticultura,,,
0133.2330,MAMÃO,Fruticultura,,,
0119.4040,MANDIOCA (AIPIM, MACAXEIRA) ( para indústria),,,
9119.4040,MANDIOCA (AIPIM, MACAXEIRA) ( para mesa),,,
0133.2340,MANGA,Fruticultura,,,
0133.2360,MARACUJÁ,Fruticultura,,,
0121.2050,Maxixe (fruto)  ,Olericultura,,,
0119.3020,MELANCIA,Fruticultura,,,
0119.3030,MELÃO,Fruticultura,,,
0121.6040,MILHO EM ESPIGA (VERDE),Olericultura,,,
0111.0070,MILHO EM GRÃO (Total - Todas as safras),Alimento básico,,,
0111.0071,MILHO EM GRÃO (1ªsafra),Alimento básico,,,
0111.0072,MILHO EM GRÃO (2ª e 3ª safra),Alimento básico,,,
0119.2130,Milho (forrageira para corte),Outros produtos agrícolas,,,
0121.2060,MORANGO,Fruticultura,,,
0133.3050,NOZ MACADÂMIA,Fruticultura,,,
0139.9060,PALMITO (cultivo),Outros produtos agrícolas,,,
0121.2070,Pepino (fruto)  ,Olericultura,,,
0133.2410,PÊSSEGO,Fruticultura,,,
0121.5270,Pimenta,Olericultura,,,
0139.1060,PIMENTA-DO-REINO,Especiaria,,,
0121.2080,Pimentão  ,Olericultura,,,
0121.2090,Quiabo  ,Olericultura,,,
0121.3140,Rabanete  ,Olericultura,,,
0121.1260,Repolho ,Olericultura,,,
0121.1270,Rúcula ou pinchão  ,Olericultura,,,
0121.5300,Salsa   ,Olericultura,,,
0121.1290,Taioba (folha)  ,Olericultura,,,
0133.1070,TANGERINA,Fruticultura,,,
0121.2100,TOMATE ESTAQUEADO,Olericultura,,,
0139.1070,URUCUM (cultivo),Outros produtos agrícolas,,,
0132.0010,UVA (PARA MESA),Fruticultura,,,
0132.0710,UVA ( Total - uva para mesa + uva para vinho),Fruticultura,,,
0132.0020,UVA (PARA VINHO),Fruticultura,,,
0121.4060,VAGEM (FEIJÃO VAGEM),Olericultura,,,
0139.2010,BORRACHA,Outros produtos agrícolas,,,
