Municipio,NOMES_MUNICIPIOS
102,Afonso Cláudio
136,Águia Branca
169,Água Doce do Norte
201,Alegre
300,Alfredo Chaves
359,Alto Rio Novo
409,Anchieta
508,Apiacá
607,Aracruz
706,Atilio Vivacqua
805,Baixo Guandu
904,Barra de São Francisco
1001,Boa Esperança
1100,Bom Jesus do Norte
1159,Brejetuba
1209,Cachoeiro de Itapemirim
1308,Cariacica
1407,Castelo
1506,Colatina
1605,Conceição da Barra
1704,Conceição do Castelo
1803,Divino de São Lourenço
1902,Domingos Martins
2009,Dores do Rio Preto
2108,Ecoporanga
2207,Fundão
2256,Governador Lindenberg
2306,Guaçuí
2405,Guarapari
2454,Ibatiba
2504,Ibiraçu
2553,Ibitirama
2603,Iconha
2652,Irupi
2702,Itaguaçu
2801,Itapemirim
2900,Itarana
3007,Iúna
3056,Jaguaré
3106,Jerônimo Monteiro
3130,João Neiva
3163,Laranja da Terra
3205,Linhares
3304,Mantenópolis
3320,Marataízes
3346,Marechal Floriano
3353,Marilândia
3403,Mimoso do Sul
3502,Montanha
3601,Mucurici
3700,Muniz Freire
3809,Muqui
3908,Nova Venécia
4005,Pancas
4054,Pedro Canário
4104,Pinheiros
4203,Piúma
4252,Ponto Belo
4302,Presidente Kennedy
4351,Rio Bananal
4401,Rio Novo do Sul
4500,Santa Leopoldina
4559,Santa Maria de Jetibá
4609,Santa Teresa
4658,São Domingos do Norte
4708,São Gabriel da Palha
4807,São José do Calçado
4906,São Mateus
4955,São Roque do Canaã
5002,Serra
5010,Sooretama
5036,Vargem Alta
5069,Venda Nova do Imigrante
5101,Viana
5150,Vila Pavão
5176,Vila Valério
5200,Vila Velha
5309,Vitória
