NOME;COD_PROD
ABACATE;1332010
ABACAXI;1193010
ABIU;2208010
ABÓBORA (JERIMUM, MORANGA);1199010
ABOBRINHA;1212010
ABRICÓ;2208020
AÇAFRÃO;1215010
AÇAÍ (cultivo);1332020
AÇAÍ (extrativismo);2208030
ACELGA;1211010
Acerola ou cereja-das-antilhas;1332030
AGAVE (FIBRA);1393020
AGAVE (FOLHA);1393030
AGRIÃO;1211020
AIPO OU SALSÃO;1211030
ALCACHOFRA;1211040
ALFACE;1211050
ALGODÃO EM CAROÇO (ARBÓREO);1393010
ALGODÃO EM CAROÇO (HERBÁCEO);1121010
ALHO;1194010
ALHO PORRÓ;1211060
ALMEIRÃO OU CHICÓRIA AMARGA;1211070
AMEIXA;1332040
AMENDOIM EM CASCA;1160010
ANDIROBA (SEMENTE);2205010
ANGICO (CASCA);2207010
ARARUTA;1213020
ARROZ EM CASCA;1110020
ASPARGO;1211080
AVEIA EM GRÃO;1110030
AZEITONA;1394010
BABAÇU (AMÊNDOA);2205020
BABAÇU (CÔCO);2205030
BACABA (CAROÇO);2209010
BACURI;2208040
BALATA (GOMA NÃO ELÁSTICA);2204010
BAMBU (TAQUARA);2203010
BANANA;1332080
Batata-baroa ou mandioquinha-salsa  ;1.213.040
BATATA-DOCE;1213050
BATATA-INGLESA;1194020
BERINJELA;1212020
BERTALHA;1211110
BETERRABA;1213060
BEZERRA;1511010
BEZERRO;1511020
BOIS (2 ANOS E MAIS) (gordo + magro);1511030
BORRACHA COAGULADA (PELA OU BOLA)(cultivo);1392010
BORRACHA COAGULADA (PELA OU BOLA)(extrativismo);2204020
BORRACHA LÍQUIDA (cultivo);1392020
BORRACHA LÍQUIDA (extrativismo);2204030
BRÓCOLIS;1211120
BÚFALA EM LACTAÇÃO;1521010
BÚFALOS E BÚFALAS 2 ANOS E MAIS;1521040
BÚFALOS E BÚFALAS DE 1 A 2 ANOS;1521030
BÚFALOS MENORES DE 1 ANO;1521020
BURITI (CÔCO);2209020
BURITI (PALHA);2203020
BUTIÁ (CÔCO);2209030
BUTIÁ (FIBRA);2203030
CACAU (AMÊNDOA);1350010
CAFÉ EM CÔCO (usado no passado, não é usado atualmente);1340010
CAFÉ EM GRÃO (Total arabica + Conilon);1340020
café arábica (em grão);1340021
café canephora, conilon, robusta (em grão);1340022
CAJÁ-MANGA;1332090
CAJU (CASTANHA) (cultivo);1333010
CAJU (CASTANHA) (extrativismo);2209040
CAJU (FRUTO) (cultivo);1332100
CAJU (FRUTO) ( extrativismo);2208070
CAMBUCÁ;2208080
CANA-DE-AÇÚCAR;1130010
Cana (forrageira para corte);1.192.050
CAQUI;1332120
CARÁ;1213070
CARNAÚBA (CERA);2202010
CARNAÚBA (OLHO DE PALHA);2202020
CARNAÚBA (PALHA);2203040
CARNAÚBA (PÓ DE PALHA);2202030
CAROÁ (FIBRA);2203050
CARVÃO VEGETAL (extrativismo);2201040
CARVÃO VEGETAL ( floresta plantada);2107040
CASCAS TANÍFERAS;2207099
CASTANHA-DO-PARÁ;2209050
CAUCHO (GOMA ELÁSTICA);2204040
CEBOLA;1194030
CEBOLINHA (FOLHA);1215120
CENOURA;1213080
