ANO,MES,COD_UF,COD_MESO,COD_MICRO,COD_MUNICIPIO,COD_PRODUTO,SAFRA,IRRIGADO,COD_FONTE,COD_FASE,COD_OCORRENCIA,EM_FORMACAO,PLANTADA,COLHIDA,PERC_COLHIDO_MES,PRODUCAO,RENDIMENTO,PRECO,OBSERVACAO,DT_ATUALIZACAO,SGL_SIGLA,COLHIDO_ACUMULADO,PRECO_MEDIO_ANUAL
2014,4,32,1,1,169,0111.0020,1,S,1,6,9,,15,15,100,45,3000,800.00,,25/04/2014,DANIELSSILVA,100,800
2014,4,32,1,1,169,0111.0070,1,N,1,6,9,,40,40,100,72,1800,650.00,,25/04/2014,DANIELSSILVA,100,650
2014,4,32,1,1,169,0111.0070,2,N,9,4,9,,5,5,,8,1600,,"cultura com baixo rendimento, sem irrigação.",23/04/2014,DANIELSSILVA,0,0
2014,4,32,1,1,169,0113.0010,0,N,1,4,9,0,20,20,,900,45000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0119.1040,1,N,1,6,9,,40,40,100,32,800,2600.00,,25/04/2014,DANIELSSILVA,100,2600
2014,4,32,1,1,169,0119.1040,2,N,9,4,9,,20,20,,16,800,,,25/04/2014,DANIELSSILVA,0,0
2014,4,32,1,1,169,0119.2050,0,N,1,4,9,0,70,70,,3150,45000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0119.3020,0,S,1,4,9,,5,5,,125,25000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0119.4040,0,N,1,4,9,0,50,50,,750,15000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0119.9010,0,N,1,4,9,,5,5,,75,15000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0121.3110,0,S,1,4,9,,5,5,,75,15000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0121.6040,0,N,1,4,9,,5,5,,9,1800,,,23/04/2014,DANIELSSILVA,0,0
2014,4,32,1,1,169,0131.0010,0,N,1,4,9,0,15,15,,135,9000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0133.1070,0,N,1,4,9,4,2,2,,20,10000,,Produto em início no município,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0133.2340,0,N,1,4,9,20,40,40,,400,10000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0133.3030,0,N,1,4,9,0,10,10,,50,5000,,Falta de Tratos Culturais adequados.,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,169,0134.0021,0,N,1,5,9,50,850,850,10,638,751,4960.00,,23/04/2014,DANIELSSILVA,10,4960
2014,4,32,1,1,169,0134.0022,0,N,1,5,9,200,1400,1400,10,1540,1100,4100.00,,23/04/2014,DANIELSSILVA,10,4100
2014,4,32,1,1,169,0134.0022,0,S,1,5,9,400,500,500,10,1100,2200,4100.00,,23/04/2014,DANIELSSILVA,10,4100
2014,4,32,1,1,169,0139.1060,0,N,1,12,9,3,0,0,,1,0,,Produto em Desenvolvimento Vegetativo.,23/04/2014,DANIELSSILVA,0,0
2014,4,32,1,1,169,0139.2010,0,N,1,12,9,60,0,0,,0,0,,Produto em Desenvolvimento.,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0111.0020,1,N,1,6,9,,200,200,100,400,2000,800.00,,25/04/2014,DANIELSSILVA,100,800
2014,4,32,1,1,904,0111.0070,1,N,1,6,9,,280,280,100,667,2382,650.00,,25/04/2014,DANIELSSILVA,100,650
2014,4,32,1,1,904,0119.1040,1,N,1,6,9,,140,140,100,84,600,2600.00,,25/04/2014,DANIELSSILVA,100,2600
2014,4,32,1,1,904,0119.1040,2,N,9,4,9,,70,70,,42,600,,,25/04/2014,DANIELSSILVA,0,0
2014,4,32,1,1,904,0119.2050,0,N,1,4,9,0,47,47,,940,20000,,"Trata-se de uma cana para gado, sem tratos culturais",03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0119.3010,0,N,1,4,9,2,1,1,,35,35000,,Condições de Solo Favoráveis e mudas de boa qualidade,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0119.3020,0,N,1,4,9,,3,3,,60,20000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0119.4040,0,N,1,4,9,0,42,42,,630,15000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0121.6040,0,N,1,4,9,,23,23,,69,3000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0132.0020,0,N,1,4,9,2,1,1,,8,8000,,Cultura em experiência.,23/04/2014,DANIELSSILVA,0,0
2014,4,32,1,1,904,0133.2080,0,N,1,4,9,0,11,11,,44,4000,,Falta de técnicas adequadas,22/04/2014,ALUIZIOLOPES,0,0
2014,4,32,1,1,904,0133.2080,0,S,1,4,9,24,95,95,,855,9000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0133.2340,0,N,1,4,9,26,54,54,,1296,24000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0133.3030,0,N,1,4,9,0,150,150,,1350,9000,,falta de técnicas adequadas.,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0134.0022,0,N,1,5,9,250,2150,2150,10,2365,1100,4100.00,,23/04/2014,DANIELSSILVA,10,4100
2014,4,32,1,1,904,0134.0022,0,S,1,5,9,800,3600,3600,10,8280,2300,4100.00,,23/04/2014,DANIELSSILVA,10,4100
2014,4,32,1,1,904,0135.0010,0,N,1,4,9,2,2,2,,1,500,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,904,0139.2010,0,N,1,4,9,7,2,2,,5,2500,,Condições de solo favoráveis,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,2108,0111.0020,1,N,1,6,9,,15,15,100,45,3000,800.00,,25/04/2014,DANIELSSILVA,100,800
2014,4,32,1,1,2108,0111.0070,1,N,1,6,9,,10,10,100,18,1800,650.00,,25/04/2014,DANIELSSILVA,100,650
2014,4,32,1,1,2108,0111.0070,2,N,9,4,9,,6,6,,9,1500,,sem irrigação.,25/04/2014,DANIELSSILVA,0,0
2014,4,32,1,1,2108,0113.0010,0,N,1,4,9,0,25,25,,1500,60000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,2108,0119.1040,1,N,1,6,9,,15,15,100,9,600,2600.00,,25/04/2014,DANIELSSILVA,100,2600
2014,4,32,1,1,2108,0119.1040,2,N,9,4,9,,10,10,,6,600,,,25/04/2014,DANIELSSILVA,0,0
2014,4,32,1,1,2108,0119.2050,0,N,1,4,9,0,380,380,,22800,60000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,2108,0119.3010,0,N,1,4,9,0,1,1,,20,20000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,2108,0119.4040,0,N,1,4,9,0,30,30,,450,15000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,2108,0119.9010,0,N,1,4,9,,5,5,,50,10000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,2108,0121.2100,0,S,1,4,9,,1,1,,50,50000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,2108,0121.3050,0,N,1,4,9,,2,2,,20,10000,,falta de técnicas adequadas,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,2108,0121.3110,0,N,1,4,9,,2,2,,36,18000,,,03/04/2014,SISTEMA,0,0
2014,4,32,1,1,2108,0131.0010,0,N,1,4,9,0,5,5,,40,8000,,,03/04/2014,SISTEMA,0,0
