ANO,MES,COD_UF,COD_MESO,COD_MICRO,COD_MUNICIPIO,COD_PRODUTO,SAFRA,IRRIGADO,COD_FONTE,COD_FASE,COD_OCORRENCIA,EM_FORMACAO,PLANTADA,COLHIDA,PERC_COLHIDO_MES,PRODUCAO,RENDIMENTO,PRECO,OBSERVACAO,DT_ATUALIZACAO,SGL_SIGLA,COLHIDO_ACUMULADO,PRECO_MEDIO_ANUAL
2016,8,32,1,1,169,0111.0070,1,N,1,6,2,,2,2,0,3,1500,750.00,A longa estiagem causou um baixo rendimento e pequeno plantio. Pequena alta no preço do milho.,19/08/2016,DANIELSSILVA,100,750
2016,8,32,1,1,169,0113.0010,0,N,1,5,9,0,20,20,0,900,45000,50.00,,01/08/2016,SISTEMA,10,50
2016,8,32,1,1,169,0119.1030,1,S,1,6,2,,20,20,0,16,800,2750.00,,19/08/2016,DANIELSSILVA,100,2750
2016,8,32,1,1,169,0119.2050,0,N,1,5,9,0,70,70,0,3150,45000,50.00,,01/08/2016,SISTEMA,10,50
2016,8,32,1,1,169,0119.3020,0,S,1,5,9,,10,10,30,300,30000,600.00,Cultura altamente tecnificada.,19/08/2016,DANIELSSILVA,50,600
2016,8,32,1,1,169,0119.4040,0,N,1,5,9,0,30,30,0,480,16000,200.00,,01/08/2016,SISTEMA,10,200
2016,8,32,1,1,169,0119.9010,0,N,1,5,9,,5,5,50,75,15000,1200.00,,19/08/2016,DANIELSSILVA,60,1200
2016,8,32,1,1,169,0121.3110,0,S,1,5,9,,6,6,50,90,15000,1200.00,,19/08/2016,DANIELSSILVA,60,1200
2016,8,32,1,1,169,0121.6040,0,N,1,5,2,,2,2,60,16,8000,750.00,,19/08/2016,DANIELSSILVA,70,750
2016,8,32,1,1,169,0131.0010,0,N,1,5,9,0,15,15,0,135,9000,1200.00,,01/08/2016,SISTEMA,10,1200
2016,8,32,1,1,169,0133.1070,0,N,1,5,9,4,2,2,50,20,10000,1750.00,Falta de tratos culturais adequados,29/08/2016,NEIDIMAR,50,1750
2016,8,32,1,1,169,0133.2080,0,S,1,5,9,0,3,3,20,45,15000,2300.00,Crise Hídrica no Estado.,19/08/2016,DANIELSSILVA,70,2300
2016,8,32,1,1,169,0133.2340,0,N,1,4,9,20,40,40,,400,10000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,169,0133.2360,0,N,1,5,9,1,3,3,0,60,20000,2000.00,,01/08/2016,SISTEMA,10,2000
2016,8,32,1,1,169,0133.3030,0,N,1,5,9,0,10,10,0,50,5000,1200.00,Falta de tratos culturais adequados,01/08/2016,SISTEMA,20,1200
2016,8,32,1,1,169,0134.0021,0,S,1,6,2,50,850,850,60,612,720,5800.00,Crise Hídrica no Estado.,19/08/2016,DANIELSSILVA,100,5800
2016,8,32,1,1,169,0134.0022,0,N,1,6,2,288,1312,1312,90,945,720,6310.00,"Junho/16 - Longo período de estiagem na região.Café chocho, banguela e bombinha. Ataque também da cochonilha.",19/08/2016,DANIELSSILVA,100,6229
2016,8,32,1,1,169,0134.0022,0,S,1,6,2,400,500,500,10,450,900,6310.00,"Junho/16 - Longo período de estiagem na região.Café chocho, banguela e bombinha. Ataque também da cochonilha.",19/08/2016,DANIELSSILVA,100,6148
2016,8,32,1,1,169,0139.1060,0,N,1,12,9,5,0,0,,0,0,,Cultura em Desenvolvimento.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,169,0139.2010,0,N,1,12,9,60,0,0,,0,0,,Cultura em Desenvolvimento.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,169,9119.4040,0,N,1,5,9,0,20,20,0,320,16000,200.00,,01/08/2016,SISTEMA,20,200
2016,8,32,1,1,904,0111.0020,1,N,1,6,2,,50,50,0,125,2500,1000.00,,19/08/2016,DANIELSSILVA,100,1000
2016,8,32,1,1,904,0111.0070,1,N,1,6,2,,100,100,0,250,2500,750.00,Alta do produto.,19/08/2016,DANIELSSILVA,100,750
2016,8,32,1,1,904,0119.1030,1,S,1,6,2,,50,50,0,40,800,2750.00,,19/08/2016,DANIELSSILVA,100,2750
2016,8,32,1,1,904,0119.2050,0,N,1,4,9,0,50,50,,2250,45000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,904,0119.3010,0,N,1,5,9,2,1,1,60,35,35000,1800.00,"Trata-se de cultura em desenvolvimento no município, altamente tecnificada e sob orientação do Incaper.",19/08/2016,DANIELSSILVA,60,1800
2016,8,32,1,1,904,0119.3020,0,N,1,5,9,,3,3,50,120,40000,600.00,Cultura Altamente Tecnificada.,19/08/2016,DANIELSSILVA,50,600
2016,8,32,1,1,904,0119.4040,0,N,1,4,9,0,25,25,,400,16000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,904,0121.6040,0,N,1,5,2,,10,10,20,25,2500,750.00,,19/08/2016,DANIELSSILVA,60,750
2016,8,32,1,1,904,0132.0010,0,N,1,4,2,2,1,1,,8,8000,,Trata-se de cultura em desenvolvimento no município.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,904,0133.2080,0,N,9,6,9,0,11,11,60,44,4000,1200.00,outubro - Falta de técnicas adequadas,19/08/2016,DANIELSSILVA,60,1200
2016,8,32,1,1,904,0133.2080,0,S,9,6,9,24,95,95,60,760,8000,1200.00,,19/08/2016,DANIELSSILVA,60,1200
2016,8,32,1,1,904,0133.2340,0,N,1,4,9,20,60,60,,1080,18000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,904,0133.3030,0,N,1,4,9,0,100,100,,700,7000,,Falta de tratos culturais adequados e crise hídrica no Estado.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,904,0134.0022,0,N,1,6,2,405,1845,1845,10,1328,720,6310.00,"Devido a crise hidrica no Municipio houve um recepa de lavouras velhas aumentando a área em formação. Rendimento com a crise hidrica no Estado, falta de chuvas o rendimento poderá sofrer alteração na primeira reunião do LSPA.",19/08/2016,DANIELSSILVA,100,6148
2016,8,32,1,1,904,0134.0022,0,S,1,6,2,800,3600,3600,10,3240,900,6310.00,"Rendimento com a crise hidrica no Estado, falta de chuvas o rendimento poderá sofrer alteração na primeira reunião do LSPA.",19/08/2016,DANIELSSILVA,100,6148
2016,8,32,1,1,904,0135.0010,0,N,1,4,9,2,3,3,,2,667,,Rendimento médio normal para a cultura.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,904,0139.2010,0,N,1,4,9,35,2,1,,2,2000,,Cultura Altamente Tecnificada.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,904,9119.4040,0,N,1,4,9,0,15,15,,240,16000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0111.0020,1,N,1,6,2,,5,5,0,15,3000,1000.00,,19/08/2016,DANIELSSILVA,100,1000
2016,8,32,1,1,2108,0113.0010,0,N,1,5,9,0,25,25,60,1500,60000,60.00,,19/08/2016,DANIELSSILVA,60,60
2016,8,32,1,1,2108,0119.1030,1,N,1,6,2,,10,10,0,8,800,2750.00,,19/08/2016,DANIELSSILVA,100,2750
2016,8,32,1,1,2108,0119.2050,0,N,1,5,9,60,440,440,60,26400,60000,50.00,,19/08/2016,DANIELSSILVA,60,50
2016,8,32,1,1,2108,0119.2130,0,N,1,5,2,,8,8,70,16,2000,750.00,,19/08/2016,DANIELSSILVA,90,750
2016,8,32,1,1,2108,0119.3010,0,N,1,4,9,0,1,1,,20,20000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0119.4040,0,N,1,5,9,0,25,25,60,400,16000,600.00,,19/08/2016,DANIELSSILVA,60,600
2016,8,32,1,1,2108,0119.9010,0,N,1,5,9,,4,4,50,40,10000,1200.00,,19/08/2016,DANIELSSILVA,70,1200
2016,8,32,1,1,2108,0121.2100,0,N,1,4,9,,1,1,,50,50000,,,19/08/2016,DANIELSSILVA,0,0
2016,8,32,1,1,2108,0121.3050,0,N,1,4,9,,2,2,,20,10000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0121.3110,0,N,1,5,2,,2,2,0,32,16000,1200.00,Crise Hídrica no Estado.,19/08/2016,DANIELSSILVA,70,1200
2016,8,32,1,1,2108,0131.0010,0,N,1,4,9,5,5,5,,40,8000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0132.0010,0,N,1,4,9,0,5,5,,55,11000,,Crise hídrica no Estado.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0133.1040,0,N,1,4,9,5,5,5,,80,16000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0133.2080,0,N,9,5,9,0,50,50,50,400,8000,1200.00,,19/08/2016,DANIELSSILVA,50,1200
2016,8,32,1,1,2108,0133.2220,0,N,1,4,9,0,4,4,,61,15250,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0133.2340,0,N,1,4,9,2,5,5,,50,10000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0133.3030,0,N,1,4,2,0,5,5,,35,7000,,Cultura sem tratos culturais adequados.Crise Hídrica no Estado.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0134.0021,0,N,1,6,2,25,50,50,90,54,1080,5800.00,Alta do produto no mercado.,19/08/2016,DANIELSSILVA,100,5800
2016,8,32,1,1,2108,0134.0022,0,N,1,6,2,135,615,615,10,369,600,5500.00,"Devido a crise hidrica no Municipio houve um recepa de lavouras velhas aumentando a área em formação. Rendimento com a crise hidrica no Estado, falta de chuvas o rendimento poderá sofrer alteração na primeira reunião do LSPA.",19/08/2016,DANIELSSILVA,100,5500
2016,8,32,1,1,2108,0134.0022,0,S,1,6,2,100,400,400,10,360,900,6310.00,"Devido a crise hidrica no Municipio houve um recepa de lavouras velhas aumentando a área em formação. Rendimento com a crise hidrica no Estado, falta de chuvas o rendimento poderá sofrer alteração na primeira reunião do LSPA.",19/08/2016,DANIELSSILVA,100,6148
2016,8,32,1,1,2108,0135.0010,0,N,1,4,9,13,1,1,,1,1000,,Cultura Altamente Tecnificada. Abril / 2016 - Novos Plantios.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0139.1060,0,N,1,4,2,30,15,15,,45,3000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,2108,0139.2010,0,N,1,5,9,40,10,10,70,20,2000,2500.00,,19/08/2016,DANIELSSILVA,70,2500
2016,8,32,1,1,3304,0111.0020,1,N,1,6,2,,30,30,0,75,2500,1000.00,,19/08/2016,DANIELSSILVA,100,1000
2016,8,32,1,1,3304,0111.0070,1,N,1,6,2,,30,30,0,45,1500,750.00,Falta de chuvas e crise hídrica no município.,19/08/2016,DANIELSSILVA,100,750
2016,8,32,1,1,3304,0119.1030,1,N,1,6,2,,20,20,0,16,800,2750.00,,19/08/2016,DANIELSSILVA,100,2750
2016,8,32,1,1,3304,0119.3010,0,N,1,4,9,3,4,4,60,52,13000,1800.00,Queda no rendimento médio devido a estiagem prolongada.,19/08/2016,DANIELSSILVA,60,1800
2016,8,32,1,1,3304,0121.2100,0,N,1,4,2,,20,15,,450,30000,,Crise Hídrica no Estado.,19/08/2016,DANIELSSILVA,0,0
2016,8,32,1,1,3304,0131.0010,0,N,1,4,9,3,25,25,,175,7000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,3304,0132.0010,0,S,1,4,9,3,3,3,,30,10000,,Crise Hídrica no Estado.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,3304,0133.2080,0,N,9,5,2,15,35,35,60,147,4200,1200.00,Crise Hídrica no Estado.,19/08/2016,DANIELSSILVA,60,1200
2016,8,32,1,1,3304,0133.2340,0,N,1,4,9,20,180,180,,1440,8000,,Falta de técnicas adequadas.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,3304,0133.2360,0,N,1,4,9,5,22,22,,396,18000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,3304,0133.3030,0,N,1,4,2,0,10,10,,80,8000,,Crise Hídrica no Estado.,01/08/2016,SISTEMA,0,0
2016,8,32,1,1,3304,0134.0021,0,N,1,6,2,200,4000,4000,70,4560,1140,5800.00,Alta do produto no mercado.,19/08/2016,DANIELSSILVA,100,5800
2016,8,32,1,1,3304,0134.0022,0,N,1,6,2,33,147,147,5,106,721,5500.00,"Devido a crise hidrica no Municipio houve um recepa de lavouras velhas aumentando a área em formação. Rendimento com a crise hidrica no Estado, falta de chuvas o rendimento poderá sofrer alteração na primeira reunião do LSPA.",19/08/2016,DANIELSSILVA,100,5500
2016,8,32,1,1,3304,0134.0022,0,S,1,6,2,30,120,120,5,108,900,5500.00,"Rendimento com a crise hidrica no Estado, falta de chuvas o rendimento poderá sofrer alteração na primeira reunião do LSPA.",19/08/2016,DANIELSSILVA,100,5500
2016,8,32,1,2,136,0111.0020,1,S,1,6,2,,4,4,0,12,3000,1000.00,,19/08/2016,DANIELSSILVA,100,1000
2016,8,32,1,2,136,0111.0070,1,N,1,6,2,,50,50,0,85,1700,750.00,Alta do Produto.,19/08/2016,DANIELSSILVA,100,750
2016,8,32,1,2,136,0119.1030,1,S,1,6,2,,30,30,0,24,800,2750.00,,19/08/2016,DANIELSSILVA,100,2750
2016,8,32,1,2,136,0119.2050,0,N,1,5,9,0,20,20,60,1200,60000,60.00,,19/08/2016,DANIELSSILVA,60,60
2016,8,32,1,2,136,0119.2130,0,N,1,5,2,,15,15,60,150,10000,750.00,,19/08/2016,DANIELSSILVA,80,750
2016,8,32,1,2,136,0119.3010,0,S,1,5,9,1,2,2,60,30,15000,1800.00,Queda no rendimento devido a estiagem prolongada.,19/08/2016,DANIELSSILVA,60,1800
2016,8,32,1,2,136,0119.3020,0,S,1,5,9,,5,5,60,150,30000,600.00,Cultura Altamente Tecnificada.,19/08/2016,DANIELSSILVA,60,600
2016,8,32,1,2,136,0121.6040,0,S,1,5,2,,30,30,40,45,1500,750.00,,19/08/2016,DANIELSSILVA,60,750
2016,8,32,1,2,136,0131.0010,0,N,1,4,9,0,2,2,,32,16000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,2,136,0133.1040,0,N,1,4,9,0,3,3,,51,17000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,2,136,0133.2080,0,S,9,5,2,15,60,60,60,900,15000,2300.00,Crise Hídrica no Estado.,19/08/2016,DANIELSSILVA,60,2300
2016,8,32,1,2,136,0133.2340,0,N,1,4,9,20,17,17,,306,18000,,,01/08/2016,SISTEMA,0,0
2016,8,32,1,2,136,0133.3030,0,N,1,4,9,0,80,80,,960,12000,,,19/08/2016,DANIELSSILVA,0,0
2016,8,32,1,2,136,0134.0022,0,N,1,6,9,170,1230,1230,4,886,720,6310.00,"Devido a crise hidrica no Municipio houve um recepa de lavouras velhas aumentando a área em formação. Rendimento com a crise hidrica no Estado, falta de chuvas o rendimento poderá sofrer alteração na primeira reunião do LSPA.",19/08/2016,DANIELSSILVA,100,6229
2016,8,32,1,2,136,0134.0022,0,S,1,6,9,2900,6000,6000,5,5400,900,6310.00,"Rendimento com a crise hidrica no Estado, falta de chuvas o rendimento poderá sofrer alteração na primeira reunião do LSPA.",19/08/2016,DANIELSSILVA,100,6148
