ANO,MES,COD_UF,COD_MESO,COD_MICRO,COD_MUNICIPIO,COD_PRODUTO,SAFRA,IRRIGADO,COD_FONTE,COD_FASE,COD_OCORRENCIA,EM_FORMACAO,PLANTADA,COLHIDA,PERC_COLHIDO_MES,PRODUCAO,RENDIMENTO,PRECO,OBSERVACAO,DT_ATUALIZACAO,SGL_SIGLA,COLHIDO_ACUMULADO,PRECO_MEDIO_ANUAL
2013,12,32,1,1,169,0111.0020,1,S,9,6,9,,20,20,0,60,3000,1000.00,"Houve uma redução de área tendo em vista que o plantio esperado não foi totalmente concretizado este ano de 2013 em função da falta de atrativo do preço, dificuldades na cultura e custo alto.",01/12/2013,SISTEMA,100,940
2013,12,32,1,1,169,0111.0070,1,N,9,6,9,,50,50,0,90,1800,580.00,,01/12/2013,SISTEMA,100,565
2013,12,32,1,1,169,0111.0070,2,N,1,6,9,,10,10,0,15,1500,580.00,Trata-se de uma cultura sem técnicas adequadas de plantio e manejo. Não há também irrigação e está sendo plantada na época de seca.,01/12/2013,SISTEMA,100,580
2013,12,32,1,1,169,0113.0010,0,N,9,4,9,0,20,20,,900,45000,,Rendimento médio abaixo do esperado tendo em vista a falta de técnicas adequadas aplicadas pelos produtores.,01/12/2013,SISTEMA,0,50
2013,12,32,1,1,169,0119.1040,1,N,9,6,9,,45,45,0,36,800,3150.00,,01/12/2013,SISTEMA,100,2890
2013,12,32,1,1,169,0119.1040,2,N,1,6,9,,20,20,0,16,800,3000.00,,01/12/2013,SISTEMA,100,3000
2013,12,32,1,1,169,0119.2050,0,N,9,4,9,0,70,70,,3150,45000,,,01/12/2013,SISTEMA,0,42.9
2013,12,32,1,1,169,0119.3020,0,S,9,4,9,,5,5,,125,25000,,,01/12/2013,SISTEMA,0,448
2013,12,32,1,1,169,0119.4040,0,N,9,4,9,0,50,50,,750,15000,,,01/12/2013,SISTEMA,0,366
2013,12,32,1,1,169,0119.9010,0,N,9,4,9,,5,5,,75,15000,,,01/12/2013,SISTEMA,0,588
2013,12,32,1,1,169,0121.3110,0,S,9,4,9,,5,5,,75,15000,,,01/12/2013,SISTEMA,0,1251
2013,12,32,1,1,169,0131.0010,0,N,9,4,9,0,15,15,,135,9000,,,01/12/2013,SISTEMA,0,651.85
2013,12,32,1,1,169,0133.2340,0,N,9,4,9,18,40,40,,400,10000,,,01/12/2013,SISTEMA,0,550
2013,12,32,1,1,169,0133.3030,0,N,9,4,9,0,10,10,,50,5000,,Rendimento médio abaixo do esperado tendo em vista a falta de técnicas adequadas aplicadas pelos produtores.,01/12/2013,SISTEMA,0,560
