ANO,MES,COD_UF,COD_MESO,COD_MICRO,COD_MUNICIPIO,COD_PRODUTO,SAFRA,IRRIGADO,COD_FONTE,COD_FASE,COD_OCORRENCIA,EM_FORMACAO,PLANTADA,COLHIDA,PERC_COLHIDO_MES,PRODUCAO,RENDIMENTO,PRECO,OBSERVACAO,DT_ATUALIZACAO,SGL_SIGLA,COLHIDO_ACUMULADO,PRECO_MEDIO_ANUAL
2015,2,32,1,1,169,0111.0070,1,N,1,4,2,,5,4,,6,1500,,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,24/02/2015,DANIELSSILVA,0,0
2015,2,32,1,1,169,0113.0010,0,N,1,4,9,0,20,20,,900,45000,,,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0119.1030,1,S,1,4,2,,40,28,,22,786,,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015.,24/02/2015,DANIELSSILVA,0,0
2015,2,32,1,1,169,0119.1030,2,S,1,1,9,,20,20,,16,800,,,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0119.2050,0,N,1,4,9,0,70,70,,3150,45000,,,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0119.3020,0,S,1,4,9,,10,10,,300,30000,,O período de estiagem favoreceu o desenvolvimento da cultura que é irrigada e não admite chuvas em excesso.,24/02/2015,DANIELSSILVA,0,0
2015,2,32,1,1,169,0119.4040,0,N,1,4,9,0,30,30,,480,16000,,,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0119.9010,0,N,1,4,9,,5,5,,75,15000,,,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0121.3110,0,S,1,4,9,,5,5,,75,15000,,,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0121.6040,0,N,1,4,2,,5,4,,7,1750,,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,24/02/2015,DANIELSSILVA,0,0
2015,2,32,1,1,169,0131.0010,0,N,1,4,9,0,15,15,,135,9000,,,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0133.1070,0,N,1,4,9,4,2,2,,20,10000,,Sem tratos culturais,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0133.2080,0,S,1,4,2,0,3,3,,84,28000,,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,24/02/2015,DANIELSSILVA,0,0
2015,2,32,1,1,169,0133.2340,0,N,1,4,9,20,40,40,,400,10000,,,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0133.2360,0,N,1,4,9,0,3,3,,60,20000,,,01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0133.3030,0,N,1,4,9,0,10,10,,50,5000,,"Trata-se de coco plantado sem tratos culturais e espalhado pelo município, sem área solteira.",01/02/2015,SISTEMA,0,0
2015,2,32,1,1,169,0134.0021,0,N,1,4,2,50,850,850,,612,720,,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,24/02/2015,DANIELSSILVA,0,0
2015,2,32,1,1,169,0134.0022,0,N,1,4,2,200,1400,1400,,1344,960,,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,24/02/2015,DANIELSSILVA,0,0
