ANO,MES,COD_UF,COD_MESO,COD_MICRO,COD_MUNICIPIO,COD_PRODUTO,SAFRA,IRRIGADO,COD_FONTE,COD_FASE,COD_OCORRENCIA,EM_FORMACAO,PLANTADA,COLHIDA,PERC_COLHIDO_MES,PRODUCAO,RENDIMENTO,PRECO,OBSERVACAO,DT_ATUALIZACAO,SGL_SIGLA,COLHIDO_ACUMULADO,PRECO_MEDIO_ANUAL
2015,6,32,1,1,169,0111.0070,1,N,1,6,2,,5,4,0,6,1500,550.00,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura.,01/06/2015,SISTEMA,100,550
2015,6,32,1,1,169,0113.0010,0,N,1,4,9,0,20,20,,900,45000,,,01/06/2015,SISTEMA,0,0
2015,6,32,1,1,169,0119.1030,1,S,1,6,2,,40,28,0,22,786,2500.00,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015.,01/06/2015,SISTEMA,100,2500
2015,6,32,1,1,169,0119.1030,2,S,1,4,9,,20,20,,16,800,,,01/06/2015,SISTEMA,0,0
2015,6,32,1,1,169,0119.2050,0,N,1,4,9,0,70,70,,3150,45000,,,01/06/2015,SISTEMA,0,0
2015,6,32,1,1,169,0119.3020,0,S,1,4,9,,10,10,,300,30000,,O período de estiagem favoreceu o desenvolvimento da cultura que é irrigada e não admite chuvas em excesso.,01/06/2015,SISTEMA,0,0
2015,6,32,1,1,169,0119.4040,0,N,1,4,9,0,30,30,,480,16000,,,01/06/2015,SISTEMA,0,0
2015,6,32,1,1,169,0119.9010,0,N,1,4,9,,5,5,,75,15000,,,01/06/2015,SISTEMA,0,0
2015,6,32,1,1,169,0121.3110,0,S,1,4,9,,6,6,,90,15000,,,01/06/2015,SISTEMA,0,0
2015,6,32,1,1,169,0121.6040,0,N,1,5,2,,5,4,0,32,8000,550.00,Fevereiro 2015: Longo período de estiagem em Dezembro 2014 e Janeiro de 2015 ocasionou um baixo rendimento da cultura. Abril/2015 - ALTERADO por MAURO para 8.000 kg/ha. REVISAR RENDIMENTO.,01/06/2015,SISTEMA,30,550
2015,6,32,1,1,169,0131.0010,0,N,1,4,9,0,15,15,,135,9000,,,01/06/2015,SISTEMA,0,0
2015,6,32,1,1,169,0133.1070,0,N,1,4,9,4,2,2,,20,10000,,Sem tratos culturais,01/06/2015,SISTEMA,0,0
