ANO,MES,COD_UF,COD_MESO,COD_MICRO,COD_MUNICIPIO,COD_PRODUTO,SAFRA,IRRIGADO,COD_FONTE,COD_FASE,COD_OCORRENCIA,EM_FORMACAO,PLANTADA,COLHIDA,PERC_COLHIDO_MES,PRODUCAO,RENDIMENTO,PRECO,OBSERVACAO,DT_ATUALIZACAO,SGL_SIGLA,COLHIDO_ACUMULADO,PRECO_MEDIO_ANUAL
2014,10,32,1,1,169,0111.0020,1,S,1,6,9,,15,15,0,45,3000,800.00,,01/10/2014,SISTEMA,100,800
2014,10,32,1,1,169,0111.0070,1,N,1,6,9,,40,40,0,72,1800,650.00,,01/10/2014,SISTEMA,100,650
2014,10,32,1,1,169,0111.0070,2,N,9,6,9,,5,5,0,8,1600,650.00,"cultura com baixo rendimento, sem irrigação.",16/10/2014,DANIELSSILVA,100,650
2014,10,32,1,1,169,0113.0010,0,N,1,4,9,0,20,20,,900,45000,,,01/10/2014,SISTEMA,0,0
2014,10,32,1,1,169,0119.1040,1,N,1,6,9,,40,40,0,32,800,2600.00,,16/10/2014,DANIELSSILVA,100,2600
2014,10,32,1,1,169,0119.1040,2,N,9,6,9,,20,20,0,16,800,2600.00,,16/10/2014,DANIELSSILVA,100,2600
2014,10,32,1,1,169,0119.2050,0,N,1,4,9,0,70,70,,3150,45000,,,01/10/2014,SISTEMA,0,0
2014,10,32,1,1,169,0119.3020,0,S,1,4,9,,7,7,,175,25000,,,01/10/2014,SISTEMA,0,0
2014,10,32,1,1,169,0119.4040,0,N,1,4,9,0,50,50,,750,15000,,,01/10/2014,SISTEMA,0,0
2014,10,32,1,1,169,0119.9010,0,N,1,4,9,,5,5,,75,15000,,,16/10/2014,DANIELSSILVA,0,0
2014,10,32,1,1,169,0121.3110,0,S,1,4,9,,5,5,,75,15000,,,01/10/2014,SISTEMA,0,0
2014,10,32,1,1,169,0121.6040,0,N,1,4,9,,5,5,,9,1800,,,16/10/2014,DANIELSSILVA,0,0
2014,10,32,1,1,169,0131.0010,0,N,1,4,9,1,15,15,,135,9000,,,01/10/2014,SISTEMA,0,0
2014,10,32,1,1,169,0133.1070,0,N,1,4,9,4,2,2,,20,10000,,Produto em início no município,01/10/2014,SISTEMA,0,0
